iller;Okuma_yazma_bilen_fakat_bir_okul_bitirmeyen
Adana;63064
Adiyaman;15829
Afyonkarahisar;19382
Agri;29314
Amasya;9708
Ankara;73276
Antalya;57390
Artvin;4721
Aydin;32699
Balikesir;32238
Bilecik;2811
Bingol;9909
Bitlis;15343
Bolu;6901
Burdur;6614
Bursa;51293
Canakkale;13933
Cankiri;5562
Corum;22011
Denizli;26675
Diyarbakir;97285
Edirne;9453
Elazig;28541
Erzincan;6623
Erzurum;24494
Eskisehir;11296
Gaziantep;54690
Giresun;25138
Gumushane;6144
Hakkari;9729
Hatay;59953
Isparta;8640
Mersin;61439
Ýstanbul;250075
Ýzmir;98098
Kars;8673
Kastamonu;16348
Kayseri;30104
Kirklareli;5709
Kirsehir;6494
Kocaeli;34593
Konya;50548
Kutahya;19180
Malatya;19712
Manisa;42548
Kahramanmaras;31349
Mardin;36873
Mugla;16653
Mus;18977
Nevsehir;6612
Nigde;8476
Ordu;38378
Rize;11494
Sakarya;18381
Samsun;57946
Siirt;14668
Sinop;8763
Sivas;19546
Tekirdag;21044
Tokat;31020
Trabzon;27534
Tunceli;2607
Sanliurfa;108030
Usak;11028
Van;65491
Yozgat;14796
Zonguldak;16347
Aksaray;10596
Bayburt;2256
Karaman;4925
Kirikkale;6174
Batman;23463
Sýrnak;21104
Bartin;9058
Ardahan;2757
Igdýr;9258
Yalova;4824
Karabuk;6139
Kilis;3408
Osmaniye;10996
Duzce;10507
