Ýllere göre bitirilen eðitim durumu;;;;;;
Ýller;Yüksekokul-Fakülte;;;;;
Adana;288827;;;;;
Adýyaman;67126;;;;;
Afyonkarahisar;77604;;;;;
Aðrý;35245;;;;;
Aksaray;40618;;;;;
Amasya;44968;;;;;
Ankara;1132120;;;;;
Antalya;393369;;;;;
Ardahan;9710;;;;;
Artvin;25232;;;;;
Aydýn;158770;;;;;
Balýkesir;185523;;;;;
Bartýn;22179;;;;;
Batman;59465;;;;;
Bayburt;11192;;;;;
Bilecik;33094;;;;;
Bingöl;30476;;;;;
Bitlis;31339;;;;;
Bolu;45068;;;;;
Burdur;38098;;;;;
Bursa;447631;;;;;
Çanakkale;90826;;;;;
Çankýrý;22389;;;;;
Çorum;59098;;;;;
Denizli;141862;;;;;
Diyarbakýr;169860;;;;;
Düzce;50986;;;;;
Edirne;57489;;;;;
Elazýð;78428;;;;;
Erzincan;35106;;;;;
Erzurum;86906;;;;;
Eskiþehir;152602;;;;;
Gaziantep;195862;;;;;
Giresun;60266;;;;;
Gümüþhane;19308;;;;;
Hakkari;26931;;;;;
Hatay;183260;;;;;
Iðdýr;19425;;;;;
Isparta;67539;;;;;
Ýstanbul;2586331;;;;;
Ýzmir;769101;;;;;
K.Maraþ;119665;;;;;
Karabük;38005;;;;;
Karaman;31143;;;;;
Kars;27051;;;;;
Kastamonu;43268;;;;;
Kayseri;190944;;;;;
Kilis;15375;;;;;
Kýrýkkale;35799;;;;;
Kýrklareli;52771;;;;;
Kýrþehir;31859;;;;;
Kocaeli;302539;;;;;
Konya;269370;;;;;
Kütahya;73428;;;;;
Malatya;112966;;;;;
Manisa;170174;;;;;
Mardin;70850;;;;;
Mersin;251284;;;;;
Muðla;172364;;;;;
Muþ;28842;;;;;
Nevþehir;37185;;;;;
Niðde;38459;;;;;
Ordu;88634;;;;;
Osmaniye;67505;;;;;
Rize;49316;;;;;
Sakarya;132285;;;;;
Samsun;184329;;;;;
Þanlýurfa;131215;;;;;
Siirt;29359;;;;;
Sinop;26018;;;;;
Sivas;81717;;;;;
Þýrnak;43109;;;;;
Tekirdað;141790;;;;;
Tokat;71423;;;;;
Trabzon;123035;;;;;
Tunceli;14425;;;;;
Uþak;44720;;;;;
Van;89522;;;;;
Yalova;41450;;;;;
Yozgat;41484;;;;;
Zonguldak;71381;;;;;
